# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	7390
#@/user_id	161cd1e2-ea2e-4a71-9961-66087a8541a4
a 	啊	c=47 d=3.2835 t=7198
suo shuo 	所說	c=1 d=1 t=7192
suo wei 	所謂	c=1 d=1 t=2399
suo yi 	所以	c=13 d=1.0305 t=7114
suo you 	所有	c=5 d=1.01666 t=7193
ta 	他	c=3 d=1.0005 t=2760
ta 	她	c=1 d=1 t=3899
ta 	它	c=5 d=2.10608 t=5990
ta men 	他們	c=8 d=1.83627 t=5113
ta niang 	他娘	c=1 d=1 t=5068
ta shi 	踏實	c=0 d=0.1 t=1708
tai 	太	c=6 d=1.00065 t=6926
tai cha 	太差	c=1 d=1 t=363
tai duo 	太多	c=1 d=1 t=1147
tai hao 	太好	c=1 d=1 t=2719
tai jin 	太近	c=1 d=1 t=6108
tai lan 	太爛	c=1 d=1 t=530
tai man 	太慢	c=1 d=1 t=4647
tai qiang 	太強	c=1 d=1 t=2707
tai wan 	臺灣	c=2 d=1.93707 t=4258
tai xian 	太閒	c=1 d=1 t=4666
tai yang 	太陽	c=1 d=1 t=3971
tai yuan 	太遠	c=2 d=1.97045 t=2389
tan 	談	c=1 d=1 t=6867
tan kai 	彈開	c=3 d=2.42159 t=223
tang 	湯	c=1 d=1 t=4114
tang 	躺	c=3 d=1.00055 t=4042
tang e 	塘鵝	c=1 d=1 t=5174
tang la 	躺啦	c=2 d=1.01337 t=3942
tang le 	躺了	c=1 d=1 t=1862
tang niao bing 	糖尿病	c=1 d=1 t=2256
tang qu 	躺去	c=1 d=1 t=3980
tang zhe 	躺着	c=0 d=0.1 t=615
tang zhe qu 	躺着去	c=1 d=1 t=616
tao 	掏	c=1 d=1 t=3260
tao lun 	討論	c=1 d=1 t=7308
tao qian 	掏錢	c=0 d=0.1 t=6359
tao yan 	討厭	c=2 d=1 t=4244
tao zhai 	討債	c=2 d=1.92312 t=817
te bie 	特別	c=2 d=1.00387 t=3994
te me 	特麼	c=1 d=1 t=6848
te shu 	特殊	c=1 d=1 t=6824
teng 	疼	c=3 d=1.00755 t=3400
ti 	提	c=1 d=1 t=863
ti 	體	c=1 d=1 t=1237
ti che 	提車	c=1 d=1 t=2974
ti chu lai 	提出來	c=1 d=1 t=408
ti dao 	提到	c=1 d=1 t=1902
ti jiao 	提交	c=3 d=1.9802 t=7009
ti qian 	提前	c=6 d=2.64641 t=6624
ti sheng 	提升	c=1 d=1 t=2460
ti xing 	提醒	c=2 d=1 t=6523
ti yi 	提議	c=1 d=1 t=1663
tian wan 	填完	c=1 d=1 t=4045
tiao 	調	c=1 d=1 t=1786
tiao liao 	調料	c=1 d=1 t=3392
tiao zheng 	調整	c=1 d=1 t=2203
tie qiao 	鐵鍬	c=1 d=1 t=7320
ting 	挺	c=2 d=1 t=6770
ting 	聽	c=6 d=1.8825 t=7348
ting bu xia lai 	停不下來	c=1 d=0.100005 t=5151
ting duo 	挺多	c=1 d=1 t=2903
ting hao 	挺好	c=2 d=1.00004 t=3519
ting ke 	停課	c=1 d=1 t=2448
ting ting 	聽聽	c=1 d=1 t=4146
ting yin yue 	聽音樂	c=2 d=1.76338 t=1983
tong 	同	c=1 d=1 t=5641
tong deng 	同等	c=2 d=1.73712 t=218
tong ku 	痛苦	c=1 d=1 t=2333
tong ling 	通靈	c=0 d=0.1 t=3404
tong ling wang 	通靈王	c=1 d=1 t=3405
tong pei fu 	通配符	c=1 d=1 t=5024
tong shi 	同時	c=4 d=1.00014 t=6696
tong xue 	同學	c=2 d=1 t=7038
tong xue men 	同學們	c=1 d=1 t=4247
tong yang 	同樣	c=2 d=1 t=6181
tong yi ci 	同義詞	c=1 d=1 t=5037
tou 	頭	c=0 d=0.1 t=3559
tou fa 	頭髮	c=1 d=1 t=1004
tou wen zi 	頭文字	c=1 d=1 t=2557
tou xiang 	頭像	c=1 d=1 t=5140
tou ying 	投影	c=1 d=1 t=7248
tou yun 	頭暈	c=1 d=1 t=2830
tou zi 	投資	c=1 d=1 t=1643
tu 	圖	c=6 d=1.08388 t=5509
tu cao 	吐槽	c=1 d=1 t=1515
tu pian 	圖片	c=15 d=3.37037 t=4914
tu xiang 	圖像	c=4 d=2.33244 t=6102
tu xie 	吐血	c=1 d=1 t=4925
tui 	退	c=5 d=3.47181 t=6779
tui ce 	推測	c=1 d=1 t=4432
tui chi 	推遲	c=1 d=1 t=2450
tui chu 	退出	c=1 d=1 t=352
tui diao 	退掉	c=1 d=1 t=6321
tui jian 	推薦	c=2 d=1.15032 t=7340
tui le 	退了	c=1 d=1 t=6213
tui piao 	退票	c=3 d=2.65857 t=6775
tuo 	拖	c=1 d=1 t=6572
tuo guan 	託管	c=1 d=1 t=324
tuo li 	脫離	c=1 d=1 t=74
wa 	哇	c=4 d=1 t=7266
wa kuang 	挖礦	c=1 d=1 t=1389
wai 	外	c=2 d=1.81873 t=4461
wai bu 	外部	c=1 d=1 t=1658
wai guo ren 	外國人	c=1 d=1 t=577
wai ke 	外科	c=1 d=1 t=4941
wai le 	歪了	c=0 d=0.100001 t=5841
wai le xia 	歪了下	c=1 d=1 t=5842
wai mai 	外賣	c=4 d=1.06809 t=2911
wai mian 	外面	c=1 d=1 t=33
wai xing ren 	外星人	c=1 d=1 t=3636
wai yuan 	外援	c=1 d=1 t=4785
wai zhi 	外置	c=1 d=1 t=5477
wan 	完	c=4 d=1.81995 t=4628
wan 	玩	c=9 d=1 t=6446
wan 	碗	c=0 d=0.1 t=985
wan 	萬	c=1 d=1 t=2641
wan an 	晚安	c=1 d=1 t=7278
wan cheng 	完成	c=3 d=1.61883 t=3587
wan dian 	晚點	c=1 d=1 t=6685
wan le 	完了	c=1 d=1 t=4147
wan quan 	完全	c=5 d=2.24391 t=5118
wan shang 	晚上	c=8 d=1.05507 t=6605
wan shou ji 	玩手機	c=1 d=1 t=341
wan yi 	萬一	c=2 d=1.00527 t=3677
wang 	往	c=2 d=1.00004 t=3220
wang 	王	c=0 d=0.1 t=3404
wang fan 	往返	c=2 d=1.90937 t=6747
wang ji 	忘記	c=1 d=1 t=3062
wang le 	忘了	c=4 d=1.03181 t=3460
wang luo 	網絡	c=1 d=1 t=4539
wang luo shang 	網絡上	c=1 d=1 t=2239
wang shang 	網上	c=5 d=1.4277 t=4621
wang su 	網速	c=1 d=1 t=4565
wang xian 	網線	c=1 d=1 t=437
wang ye 	網頁	c=1 d=1 t=5012
wang zhan 	網站	c=6 d=1.0011 t=4997
wei chu 	未出	c=1 d=1 t=4980
wei le 	爲了	c=3 d=1 t=5962
wei mao 	爲毛	c=1 d=1 t=3998
wei sha 	爲啥	c=7 d=1.81088 t=5304
wei shen me 	爲什麼	c=4 d=1.90484 t=7174
wei xian 	危險	c=1 d=1 t=966
wei xin 	微信	c=2 d=1.95123 t=5002
wei zhi 	位置	c=1 d=1 t=5847
wen 	問	c=2 d=1.10331 t=7021
wen an 	文案	c=1 d=1 t=2172
wen dang 	文檔	c=1 d=1 t=5757
wen hua da ge ming 	文化大革命	c=1 d=1 t=16
wen jian 	文件	c=3 d=1.69437 t=3872
wen ni 	問你	c=1 d=1 t=5224
wen ni men 	問你們	c=1 d=1 t=1892
wen ti 	問題	c=26 d=1.12883 t=7368
wen wen 	問問	c=7 d=2.07842 t=6406
wen zhang 	文章	c=1 d=1 t=7292
wen zi 	文字	c=2 d=1.00151 t=2503
wo 	我	c=271 d=5.2965 t=7377
wo cao 	我曹	c=1 d=1 t=944
wo cao 	我槽	c=2 d=1.03288 t=1685
wo de 	我的	c=1 d=1 t=360
wo gei 	我給	c=1 d=1 t=730
wo jiu 	我就	c=1 d=1 t=553
wo kao 	我靠	c=1 d=1 t=2105
wo men 	我們	c=9 d=0.579852 t=7054
wo ye xiang 	我也想	c=0 d=0.1 t=1486
wo ye xiang chi 	我也想吃	c=1 d=1 t=1487
wo zai 	我在	c=1 d=1 t=1675
wo zhe 	我這	c=1 d=1 t=673
wu 	午	c=0 d=0.1 t=4024
wu dao 	舞蹈	c=1 d=1 t=5945
wu dao 	誤導	c=1 d=1 t=5947
wu fa 	無法	c=5 d=1.00016 t=7386
wu fan 	午飯	c=1 d=1 t=5256
wu fei 	無非	c=1 d=1 t=5642
wu liao 	無聊	c=0 d=0.1 t=3159
wu liu 	五六	c=1 d=1.06561 t=2034
wu sheng 	武勝	c=1 d=1 t=4138
wu suo wei 	無所謂	c=2 d=1 t=5634
wu xian 	無線	c=1 d=1 t=6935
wu xiao 	無效	c=1 d=1 t=7169
xi 	細	c=1 d=1 t=2848
xi fu 	媳婦	c=6 d=1.09218 t=7279
xi fu er 	媳婦兒	c=1 d=1 t=1189
xi ge 	洗個	c=0 d=0.1 t=3883
xi ge zao 	洗個澡	c=1 d=1 t=3884
xi guan 	習慣	c=1 d=1 t=3809
xi hao 	洗好	c=3 d=1.00001 t=5334
xi huan 	喜歡	c=8 d=1.00026 t=7328
xi lan hua 	西蘭花	c=1 d=1 t=1280
xi mi 	西米	c=1 d=1 t=652
xi shua 	洗刷	c=1 d=1 t=1396
xi tong 	系統	c=2 d=1 t=3798
xi wan 	洗完	c=0 d=0.1 t=3929
xi wan la 	洗完啦	c=1 d=1 t=3930
xi wang 	希望	c=3 d=1.00006 t=4133
xi ya tu 	西雅圖	c=4 d=3.38586 t=6795
xi zao 	洗澡	c=2 d=1.81873 t=5333
xi zao xi zao 	洗澡洗澡	c=1 d=1 t=2361
xia 	下	c=10 d=2.0266 t=7382
xia ban 	下班	c=1 d=1 t=2724
xia ci 	下次	c=2 d=1.01284 t=3651
xia dan 	下單	c=2 d=1 t=6470
xia hao 	下好	c=1 d=1 t=3633
xia lai 	下來	c=0 d=0.1 t=208
xia le 	瞎了	c=1 d=1 t=5171
xia lou 	下樓	c=2 d=1.00007 t=3091
xia mian 	下面	c=1 d=1 t=3441
xia tian 	夏天	c=0 d=0.1 t=4267
xia tian lai 	夏天來	c=1 d=1 t=4268
xia wu 	下午	c=7 d=1 t=7234
xia xie 	瞎寫	c=1 d=1 t=4265
xia yi kuai 	下一塊	c=1 d=1 t=7163
xia zai 	下載	c=6 d=1 t=6949
xia zhe 	嚇着	c=0 d=0.1 t=1253
xia zhe wo 	嚇着我	c=1 d=1 t=1254
xia zhou 	下週	c=4 d=1.99087 t=2034
xia zhou san 	下週三	c=1 d=1 t=1795
xian 	先	c=14 d=2.06317 t=6512
xian jin 	現金	c=1 d=1 t=4124
xian qu 	先去	c=1 d=1 t=6616
xian shi 	顯示	c=6 d=1.00661 t=6969
xian zai 	現在	c=25 d=1.38263 t=6908
xian zhi 	限制	c=1 d=1 t=5579
xiang 	像	c=3 d=1 t=7134
xiang 	向	c=2 d=1.90937 t=165
xiang 	想	c=28 d=2.00191 t=6721
xiang ban fa 	想辦法	c=2 d=1.00093 t=3547
xiang bu qing chu 	想不清楚	c=1 d=1 t=5137
xiang bu xiang 	像不像	c=2 d=1.00006 t=3782
xiang bu xiang 	想不想	c=1 d=1 t=3783
xiang chi 	想吃	c=1 d=1.00001 t=5316
xiang chu lai 	想出來	c=1 d=1 t=5111
xiang dang yu 	相當於	c=3 d=1 t=4617
xiang dui 	相對	c=1 d=1 t=5609
xiang fa 	想法	c=2 d=1.39852 t=3702
xiang le xiang 	想了想	c=1 d=1 t=932
xiang mai 	想買	c=1 d=1 t=6891
xiang mu 	項目	c=4 d=1.00496 t=6856
xiang qi lai 	想起來	c=2 d=1.73345 t=5297
xiang qing 	詳情	c=1 d=1 t=4962
xiang shuo 	想說	c=1 d=1 t=3951
xiang si 	想死	c=1 d=1 t=396
xiang su 	像素	c=3 d=1.98145 t=4852
xiang tu 	想吐	c=1 d=1 t=1599
xiang xi 	詳細	c=1 d=1 t=4959
xiang xiang 	想像	c=1 d=1 t=4907
xiang xiang 	想想	c=1 d=1 t=3157
xiang xiang 	想象	c=1 d=1 t=3275
xiang xin 	相信	c=1 d=1 t=6370
xiang yao 	想要	c=3 d=1 t=3428
xiang yue 	相約	c=1 d=1 t=3976
xiang zhuang 	相撞	c=2 d=1.73345 t=221
xiang zi 	箱子	c=2 d=1.18452 t=6786
xiao 	小	c=7 d=1.10061 t=7267
xiao fen 	小份	c=1 d=1 t=2936
xiao hu tu shen 	小糊塗神	c=1 d=1 t=7268
xiao hua 	笑話	c=1 d=1 t=881
xiao huo ju 	小火炬	c=1 d=1 t=2534
xiao jing ling 	小精靈	c=1 d=1 t=7272
xiao lian 	小臉	c=2 d=1.9802 t=2470
xiao mie 	消滅	c=2 d=1.93707 t=192
xiao nan hai 	小男孩	c=1 d=1 t=1849
xiao peng you 	小朋友	c=1 d=1 t=1827
xiao shi 	小時	c=8 d=1.6832 t=6905
xiao shi 	消失	c=2 d=1.00001 t=2853
xiao shu 	小鼠	c=1 d=1 t=91
xiao yuan 	小圓	c=3 d=2.35555 t=194
xiao zi 	小子	c=2 d=1.92774 t=148
xiao zu 	小組	c=16 d=10.3884 t=220
xie 	寫	c=20 d=1.36879 t=7244
xie cheng 	寫成	c=1 d=1 t=6223
xie cheng 	攜程	c=5 d=2.00587 t=6767
xie cuo 	寫錯	c=1 d=1 t=7379
xie dai ma 	寫代碼	c=12 d=1.33903 t=5291
xie dian 	寫點	c=1 d=1 t=3578
xie fa 	寫法	c=1 d=1 t=14
xie hui er 	寫會兒	c=1 d=1 t=2677
xie le 	寫了	c=4 d=1.00002 t=7293
xie ru 	寫入	c=2 d=1.8311 t=7161
xie sha 	寫啥	c=1 d=1 t=3756
xie si 	寫死	c=1 d=1 t=901
xie te 	寫特	c=1 d=1 t=1090
xie te 	謝特	c=2 d=1.00025 t=4928
xie wan 	寫完	c=1 d=1 t=243
xie xi 	歇息	c=1 d=1 t=2742
xie xia 	寫下	c=1 d=1 t=7077
xie xie 	謝謝	c=4 d=1.95761 t=5413
xie zhu 	協助	c=1 d=1 t=1753
xie zuo 	寫作	c=1 d=1 t=5581
xie zuo ye 	寫作也	c=1 d=1 t=1950
xin 	新	c=8 d=1 t=7202
xin de 	新的	c=3 d=1.05698 t=3224
xin li 	心裏	c=2 d=1.00517 t=2761
xin li xue 	心理學	c=1 d=1 t=5259
xin pin 	新品	c=1 d=1 t=1066
xin teng 	心疼	c=1 d=1 t=2673
xin wen 	新聞	c=1 d=1 t=1847
xin xi 	信息	c=3 d=1.39455 t=6168
xin xi liang 	信息量	c=1 d=1 t=2478
xin xian kong qi 	新鮮空氣	c=1 d=1 t=1879
xin yong ka 	信用卡	c=1 d=1 t=4988
xing 	行	c=2 d=1.00213 t=2666
xing cheng 	形成	c=2 d=1.99501 t=138
xing hao 	型號	c=1 d=1 t=1031
xing kui 	幸虧	c=2 d=1 t=6521
xing li 	行李	c=3 d=2.27314 t=6573
xing neng 	性能	c=1 d=1 t=362
xing qi tian 	星期天	c=1 d=1 t=2091
xing rong 	形容	c=1 d=1 t=886
xing yun 	幸運	c=1 d=1 t=706
xiong di 	兄弟	c=0 d=0.1 t=3567
xiu 	修	c=1 d=1 t=6355
xiu le 	修了	c=1 d=1 t=6362
xiu xi 	休息	c=0 d=0.1 t=1187
xiu yang 	休養	c=1 d=1 t=1429
xu 	續	c=0 d=0.1 t=6683
xu qiu 	需求	c=1 d=1 t=389
xu tang 	續湯	c=1 d=1 t=4135
xu wu zhu yi 	虛無主義	c=1 d=1 t=4044
xu yao 	需要	c=7 d=1.198 t=7305
xuan ran 	渲染	c=1 d=1 t=6923
xuan ze 	選擇	c=1 d=1 t=3584
xuan zhuan 	旋轉	c=2 d=1.97045 t=5917
xue 	學	c=4 d=1.96976 t=4243
xue 	雪	c=1 d=1 t=3423
xue bu hui 	學不會	c=2 d=1.02248 t=4927
xue bu jin qu 	學不進去	c=1 d=1 t=3543
xue hui 	學會	c=2 d=1.00287 t=2542
xue le 	削了	c=1 d=1 t=253
xue le 	學了	c=2 d=1.15183 t=631
xue sheng 	學生	c=1 d=1 t=2757
xue xi 	學習	c=14 d=1.90933 t=4777
xue xiao 	學校	c=5 d=1.02837 t=3191
xue yi hui 	學一會	c=1 d=1 t=1706
ya 	呀	c=2 d=1.00003 t=4182
ya li 	壓力	c=1 d=1 t=2376
ya xian 	牙線	c=1 d=1 t=1365
ya zhang 	鴨掌	c=1 d=1 t=5401
yan 	眼	c=1 d=1 t=5169
yan jiang 	演講	c=0 d=0.1 t=2078
yan jiu 	研究	c=1 d=1 t=2289
yan se 	顏色	c=2 d=1.00036 t=3790
yan zhao 	眼罩	c=1 d=1 t=1991
yang 	樣	c=2 d=1.02788 t=4613
yang 	洋	c=2 d=1.01925 t=2452
yang 	羊	c=2 d=1.01906 t=2451
yang ren 	洋人	c=2 d=1.99005 t=2260
yang wen 	洋文	c=1 d=1 t=423
yang zi 	樣子	c=1 d=1 t=2658
yao 	要	c=39 d=1.36676 t=7047
yao bu ran 	要不然	c=2 d=1 t=7355
yao bu yao 	要不要	c=2 d=1 t=2965
yao dao 	要到	c=1 d=1 t=2428
yao qu 	要去	c=1 d=1 t=2038
yao shi 	要是	c=1 d=1 t=995
yao yong 	要用	c=1 d=1 t=1952
yao zuo 	要做	c=1 d=1 t=1134
ye 	也	c=38 d=2.51857 t=7357
ye 	野	c=1 d=1 t=3488
ye de 	也得	c=1 d=1 t=4095
ye dou 	也都	c=1 d=1 t=983
ye dui 	也對	c=1 d=1 t=4905
ye hao 	也好	c=1 d=1 t=5292
ye hui 	也會	c=2 d=1.00002 t=2287
ye ma 	野馬	c=3 d=2.91813 t=2663
ye mei 	也沒	c=0 d=0.1 t=4142
ye mei shi zuo 	也沒事做	c=1 d=1 t=4143
ye neng 	也能	c=1 d=1 t=1493
ye shi 	也是	c=5 d=2.18862 t=6911
ye shi 	夜市	c=2 d=1.99501 t=6532
ye xing 	也行	c=2 d=1.56553 t=6328
ye yao 	也要	c=1 d=1 t=4569
yi 	一	c=1 d=0.275218 t=1557
yi 	以	c=2 d=1.62189 t=2301
yi ban 	一半	c=1 d=1 t=3269
yi ban 	一般	c=1 d=1 t=4595
yi ben zheng jing 	一本正經	c=1 d=1 t=3443
yi bi 	一比	c=2 d=1.99005 t=4967
yi bian 	一遍	c=2 d=1.90032 t=930
yi che 	易車	c=2 d=1.84366 t=2661
yi chu 	移除	c=1 d=1 t=4437
yi ci 	一次	c=3 d=1.03474 t=4679
yi dian 	一點	c=2 d=1.77105 t=2544
yi dian dian 	一點點	c=6 d=1.00021 t=5459
yi dong 	移動	c=2 d=1.94176 t=76
yi duan 	一段	c=1 d=1 t=6806
yi fen 	一分	c=1 d=1 t=409
yi fu 	衣服	c=3 d=1.52474 t=3223
yi fu hua 	一幅畫	c=1 d=1 t=5144
yi ge 	一個	c=59 d=3.36872 t=7141
yi ge jiao 	一個角	c=1 d=1 t=4716
yi ge ren 	一個人	c=1 d=1 t=785
yi ge yue 	一個月	c=1 d=1 t=6402
yi hang 	一行	c=2 d=1.99501 t=4524
yi hou 	以後	c=7 d=1.01783 t=6611
yi hui 	一會	c=0 d=0.1 t=1705
yi jian 	一件	c=2 d=1.00106 t=2162
yi jian 	一鍵	c=2 d=1.9802 t=5728
yi jing 	已經	c=7 d=1 t=7133
yi ju 	一句	c=1 d=1 t=4734
yi kan 	一看	c=1 d=1 t=400
yi kuai 	一塊	c=0 d=0.1 t=7162
yi liang ge yue 	一兩個月	c=1 d=1 t=1558
yi liang tian 	一兩天	c=1 d=1 t=380
yi ming 	譯名	c=1 d=1 t=4252
yi qi 	一起	c=6 d=1.10281 t=6206
yi qian 	以前	c=3 d=1.00401 t=6997
yi shan 	一閃	c=1 d=1 t=1837
yi sheng 	一生	c=1 d=1 t=6844
yi sheng 	一聲	c=1 d=1 t=6424
yi si 	意思	c=5 d=1.89585 t=5355
yi si si 	一絲絲	c=1 d=1 t=5354
yi tao 	一套	c=1 d=0.1 t=6393
yi tian 	一天	c=2 d=1 t=6903
yi wan 	一碗	c=2 d=1 t=4113
yi wan 	一萬	c=0 d=0.1 t=6236
yi wan duo 	一萬多	c=1 d=1 t=6237
yi wan shang 	一晚上	c=1 d=1 t=394
yi wei 	以爲	c=4 d=1 t=7103
yi xia 	一下	c=10 d=1.09326 t=6399
yi xia 	以下	c=1 d=1 t=7370
yi xie 	一些	c=7 d=1 t=6822
yi xing 	一行	c=1 d=1 t=550
yi xue 	醫學	c=0 d=0.1 t=4936
yi yan 	一眼	c=1 d=1 t=1838
yi yang 	一樣	c=9 d=1.19424 t=6553
yi you 	已有	c=1 d=1 t=5133
yi yuan 	醫院	c=1 d=1 t=4940
yi zhang 	一張	c=3 d=1.00006 t=6764
yi zhao 	一招	c=1 d=1 t=6494
yi zhi 	一直	c=5 d=1.9803 t=2571
yi zhong 	一種	c=4 d=1.99276 t=1964
yin 	因	c=1 d=1 t=3065
yin 	銀	c=2 d=1.89583 t=3924
yin 	陰	c=1 d=1 t=3928
yin gong 	陰功	c=0 d=0.1 t=282
yin ru 	引入	c=1 d=1 t=7156
yin wei 	因爲	c=10 d=2.23771 t=6755
yin yue 	隱約	c=1 d=1 t=4356
yin yue 	音樂	c=6 d=4.92344 t=2022
ying 	硬	c=1 d=1 t=1486
ying 	贏	c=2 d=1.97045 t=2424
ying cheng 	硬撐	c=1 d=1 t=4815
ying dang 	應當	c=1 d=1 t=7116
ying fu 	應付	c=1 d=1 t=6398
ying gai 	應該	c=11 d=1.3804 t=6403
ying jia 	贏家	c=1 d=1 t=213
ying wen 	英文	c=12 d=3.30761 t=5125
ying xiang 	影響	c=1 d=1 t=7061
ying xiao 	營銷	c=1 d=1 t=6375
ying yong 	應用	c=2 d=1.84789 t=6985
ying yu 	英語	c=1 d=1 t=1372
yong 	用	c=54 d=1.1805 t=6998
yong dao 	用到	c=3 d=1.10407 t=5131
yong de 	用的	c=1 d=1 t=2801
yong fa 	用法	c=1 d=1 t=5613
yong guang 	用光	c=1 d=1 t=1281
yong guo 	用過	c=3 d=0.100427 t=6988
yong hu 	用戶	c=10 d=3.54521 t=5921
yong jiu 	永久	c=1 d=1 t=292
yong lai 	用來	c=3 d=1.03038 t=5804
yong shi 	用時	c=2 d=1.00001 t=5915
yong ta 	用它	c=2 d=1 t=3697
yong yuan 	永遠	c=2 d=1 t=4931
you 	又	c=11 d=1.0016 t=6639
you 	有	c=35 d=3.92436 t=7238
you bi yao 	有必要	c=2 d=1.00002 t=2528
you bian 	右邊	c=2 d=1 t=7256
you cuo wu 	有錯誤	c=1 d=1 t=6295
you dian 	有點	c=8 d=1.99318 t=6809
you ge 	有個	c=3 d=1.00252 t=5342
you guan 	有關	c=3 d=1.00117 t=3464
you hui 	優惠	c=3 d=2.6465 t=3043
you jian 	郵件	c=7 d=1 t=7054
you ke 	有課	c=1 d=1 t=1908
you ke neng 	有可能	c=2 d=1 t=6252
you mei you 	有沒有	c=4 d=1 t=6575
you mu di 	有目的	c=1 d=1 t=3152
you qu 	有趣	c=1 d=1 t=6879
you ren 	有人	c=1 d=1 t=809
you sha 	有啥	c=4 d=1.00001 t=4822
you shang 	右上	c=1 d=1 t=5913
you shi 	又是	c=2 d=1.00053 t=4748
you shi hou 	有時候	c=1 d=1 t=5693
you wen ti 	有問題	c=8 d=1.92122 t=5861
you xi 	遊戲	c=1 d=1 t=1385
you xian 	優先	c=1 d=1 t=6006
you xiao 	有效	c=1 d=1 t=4334
you yi tiao 	有一條	c=1 d=1 t=2270
you yong 	有用	c=1 d=1 t=2789
yu 	魚	c=1 d=1 t=7316
yu ce 	預測	c=1 d=1 t=1379
yu dao 	遇到	c=10 d=1.07426 t=5750
yu fa 	語法	c=1 d=1 t=4874
yu qi 	預期	c=1 d=1 t=171
yu shi 	於是	c=1 d=1 t=4618
yu yan 	語言	c=2 d=1.94176 t=5378
yu yue 	預約	c=1 d=1 t=5433
yuan 	圓	c=4 d=1 t=5924
yuan 	遠	c=1 d=1 t=3840
yuan cheng 	遠程	c=1 d=1 t=4808
yuan cheng xie zhu 	遠程協助	c=1 d=1 t=1745
yuan lai 	原來	c=1 d=1 t=3771
yuan shi 	原始	c=1 d=1 t=5726
yuan wei 	原味	c=1 d=1 t=1866
yuan yin 	原因	c=2 d=1.67032 t=6899
yue 	月	c=1 d=1 t=5322
yue 	越	c=2 d=1.99501 t=5944
yue guo 	越過	c=0 d=0.1 t=5160
yue guo qu 	越過去	c=1 d=1 t=5161
yue shuo 	越說	c=1 d=1 t=5941
yun 	雲	c=5 d=1.14744 t=3286
yun xing 	運行	c=1 d=1 t=6074
yun ying 	運營	c=1 d=1 t=6828
za 	咋	c=2 d=1.69073 t=1772
za 	砸	c=0 d=0.1 t=2342
za ban 	咋辦	c=2 d=1.99005 t=6197
za chang zi 	砸場子	c=1 d=1 t=2343
za kan 	咋看	c=1 d=1 t=1697
za le 	咋了	c=1 d=1 t=2621
za shuo 	雜說	c=1 d=1 t=4093
za yang 	咋樣	c=1 d=1 t=1690
zai 	再	c=20 d=1.13627 t=6660
zai 	在	c=54 d=5.24307 t=7383
zai chi 	再吃	c=1 d=1 t=2927
zai gao 	再搞	c=1 d=1 t=2181
zai jia 	在家	c=3 d=1 t=6931
zai na 	在哪	c=1 d=1 t=1815
zai shuo 	再說	c=1 d=1 t=5752
zai wan 	在玩	c=1 d=1 t=456
zai ye 	再也	c=1 d=1 t=2699
zai yi 	在意	c=1 d=1 t=3147
zai yi qi 	在一起	c=1 d=1 t=29
zan 	咱	c=1 d=1 t=1793
zan men 	咱們	c=2 d=1.86071 t=2631
zan shi 	暫時	c=2 d=1.09585 t=2743
zang 	髒	c=1 d=1 t=3264
zao 	早	c=3 d=1.88692 t=6585
zao 	澡	c=2 d=0.119352 t=3883
zao 	造	c=1 d=1 t=3241
zao chu lai 	造出來	c=1 d=1 t=3890
zao dian 	早點	c=1 d=1 t=6556
zao gao 	糟糕	c=1 d=1 t=5285
zao jiu 	早就	c=1 d=1 t=3417
zao shang 	早上	c=4 d=1.33121 t=6632
zao shui 	早睡	c=2 d=1 t=3861
zao zhi dao 	早知道	c=1 d=1 t=3142
ze 	則	c=2 d=1.00001 t=7167
zen me 	怎麼	c=15 d=1.03309 t=5690
zen me ban 	怎麼辦	c=2 d=1.0251 t=2856
zen me gao 	怎麼搞	c=1 d=1 t=3710
zen me shuo 	怎麼說	c=1 d=1 t=2349
zen me yang 	怎麼樣	c=1 d=1 t=3727
zeng jia 	增加	c=1 d=1 t=285
zeng pin 	贈品	c=3 d=2.95556 t=5409
zhan 	展	c=5 d=2.02837 t=2449
zhan 	戰	c=1 d=1 t=7318
zhan lan 	展覽	c=1 d=1 t=1797
zhang 	張	c=3 d=1.00002 t=4839
zhang 	長	c=0 d=0.1 t=3560
zhang ai 	障礙	c=2 d=1.99005 t=5160
zhang da 	長大	c=1 d=1 t=4253
zhang dan 	賬單	c=1 d=1 t=4981
zhang hao 	帳號	c=1 d=1 t=1729
zhang jia 	漲價	c=1 d=1 t=6757
zhang lian 	張臉	c=0 d=0.1 t=2475
zhang wai le 	長歪了	c=1 d=1 t=3561
zhao 	找	c=3 d=1.00033 t=6618
zhao bu dao 	找不到	c=1 d=1 t=2804
zhao dao 	找到	c=1 d=1 t=3617
zhao ge 	找個	c=1 d=1 t=7306
zhao ni 	找你	c=1 d=1 t=2123
zhao pian 	照片	c=1 d=1 t=1013
zhao zhao 	找找	c=2 d=1 t=6958
zhe 	着	c=1 d=1 t=6884
zhe 	者	c=0 d=0.1 t=7174
zhe 	這	c=18 d=2.934 t=6863
zhe ban 	這班	c=2 d=1.63445 t=6269
zhe bei zi 	這輩子	c=1 d=1 t=1157
zhe bi 	這筆	c=1 d=1 t=4984
zhe bian 	這邊	c=1 d=1 t=6571
zhe dian 	這點	c=2 d=1 t=6768
zhe ge 	這個	c=41 d=2.15543 t=7367
zhe ge wan 	這個碗	c=1 d=1 t=986
